"","year","state","state.1","poptotal","evangelical_pop","nonwhite","gini_coef","total_expenditure","total_revenue","gsppcap","incomepcap","unemployment","povrate","earned_income_taxcredit","x_sales_taxes","x_tax_burden","x_top_corporateincometaxrate","hou_chamber","sen_chamber","h_diffs","s_diffs","pctfemaleleg","efna_index","vepvotingrate","overall_fin_reg","union_density","innovatescore_boehmkeskinner","citi6013","anti_environment","anti_welfare","anti_race","mathscore4th","readscore4th","sqli","genderrights_state_eras","solaw","w_environment_solar_taxcredit","drugs_medical_marijuana","labor_minwage_abovefed","labor_right_to_work","i_rps"
"1",1980,"AK","Alaska",401851,11.9,0.205990046,0.50873017,2032718,3229513,NA,14975,9.5,9.6,NA,0,0.078,9.4,NA,NA,NA,NA,NA,NA,0.59,NA,29.70000076,0.054081,42.22034,0.186731607,0.645576799,0.323892333,NA,NA,NA,1,0,0,NA,1,0,"0"
"2",1981,"AK","Alaska",418491,11.9,0.233478472,0.47148901,2543293,5133651,NA,16528,9.3,9,NA,0,0.059,9.4,NA,NA,NA,NA,10,4.7,NA,NA,33.70000076,0.050068,34.49155,0.147285461,0.606685367,0.33038942,NA,NA,NA,1,0,0,NA,1,0,"0"
"3",1982,"AK","Alaska",449606,11.9,0.234899998,0.49747211,3280885,5888850,NA,18819,9.9,10.6,NA,0,0.057,9.4,NA,NA,NA,NA,NA,4.9,0.63,NA,29.29999924,0.050068,37.84078,0.107839309,0.567793936,0.336886507,NA,NA,NA,1,0,0,NA,1,0,"0"
"4",1983,"AK","Alaska",488417,11.9,0.23313114,0.505189,3854028,5246838,NA,18843,10.3,12.6,NA,0,0.054,9.4,NA,NA,NA,NA,13.3,5,NA,NA,24.89999962,0.050997,45.21283,0.09370777,0.510682159,0.253267273,NA,NA,NA,1,0,0,NA,1,0,"0"
"5",1984,"AK","Alaska",513702,11.9,0.235832691,0.50255704,4156859,5462672,NA,19395,10,9.6,NA,0,0.057,9.4,NA,NA,NA,NA,13.3,5.1,0.61,NA,24.20000076,0.050997,46.41699,0.060021095,0.410707924,0.243036537,NA,NA,NA,1,0,0,NA,1,0,"0"
"6",1985,"AK","Alaska",532495,16.799999,0.236022562,0.50468951,4949743,5917595,NA,20104,9.7,8.7,NA,0,0.059,9.4,NA,NA,NA,NA,18.3,5.1,NA,NA,25,0.027553,44.593,0.117188089,0.510660926,0.35553522,NA,NA,NA,1,0,0,NA,1,0,"0"
"7",1986,"AK","Alaska",544268,16.799999,0.239795953,0.57390326,4220878,6115297,NA,19673,10.8,11.4,NA,0,0.055,9.4,NA,NA,NA,NA,18.3,5,0.51,NA,23.29999924,0.027553,51.07051,0.062719747,0.398956631,0.222500332,NA,NA,NA,1,0,0,NA,1,0,"0"
"8",1987,"AK","Alaska",539309,16.799999,0.245473102,0.64467525,4416197,4888975,54747,19244,10.8,12,NA,0,0.058,9.4,NA,NA,NA,NA,20,5,NA,NA,22.29999924,0.014438,54.97746,0.083150849,0.553413934,0.228342453,NA,NA,NA,1,0,0,NA,1,0,"0"
"9",1988,"AK","Alaska",541983,16.799999,0.25232473,0.69510776,4197902,5158039,51373,19848,7.3,11,0,0,0.058,9.4,NA,NA,NA,NA,20,5,0.56,NA,24.29999924,0.014438,53.86577,0.07030873,0.497121468,0.297802963,NA,NA,NA,1,0,0,NA,1,0,"0"
"10",1989,"AK","Alaska",547159,16.799999,0.257314444,0.6674968,4447698,5112848,52974,21525,6.7,10.5,0,0,0.056,9.4,NA,NA,NA,NA,21.7,5.3,NA,NA,22.89999962,0.013487,46.69838,0.028860822,0.464123759,0.249728083,NA,NA,NA,1,0,0,NA,1,0,"0"
